order_id,product_id,seller_id,price,shipping_charges
D5YWaLz32bm9,wfUecfuVgluN,RNFE5zNAmF9M,45.05,90.98
XhmzJrChXt1C,uX3peyoIafeb,ux1d7N0zioFv,55.83,32.79
xyukk6AHT526,cSXYaf2R23NY,cJjMnhGSG3Hz,420.07,7.52
8LH9cFjaFFLw,mJHxwcpqG1n6,w64BqIsmpk4u,254.97,51.45
WCVW0rJ4udYk,Y9RZLlJmz7ht,8rHUnSQeQcMj,220.99,9.54
pvYF1MU8i064,mlh1QSbPODrn,T7OJcZtdnwO5,56.89,45.85
bhMwu9M1F3pM,LACwfilTTi3G,24mjkJMrK51h,23.1,31.99
iUEMkbaTWXER,0zCNWMABd3aW,iAF0NxaypyZB,597.89,87.83
sZG0zVMaFAXJ,50ddJtKO3HR1,yHsOFiqVrV1u,518.18,38.66
u49f51uCjN3j,XoreWdNE59ms,dHUHvmn8Gewy,399.2,20.9
Whn3HZ9xudbF,6QtH1B0l31bh,V3iKL8r9W9NR,107.63,133.3
UuMDtqNcmyUC,g2nsxyGqPtjO,gmJ10puzztav,56.7,6.08
v5gjarBxJsbo,GBRpbhWI9MRb,bI5cDrYjs9Qa,281.9,83.09
3TVHEQZQTpNK,xQOinugRH3hN,lTpUZrtW5FYQ,125.46,53.51
hJq9LTbltF0f,S1AbuPvAdHZx,qI9UblMbsm1o,410.0,45.41
cqbIl6jpDT2u,qDgjT36KwfcF,HPuxRyj1uNUP,128.99,14.0
LB5ptHNQKAFz,i1Clmz1s1Y35,yGbPyLPc8PmT,2899.0,32.34
903k3PvOOCNz,Rugpsd6wUZpm,EqPcJSwcfSMn,898.9,7.37
cv7Hxy6CHEtO,5Nm9KRKxfEOi,8mVLKV0XOTsx,111.27,35.19
CscZnJreINZO,G0Jl0sANrl5j,j6ZQXHPSPppN,150.82,9.96
mG9DF0eoAvGx,i8rOWNVCU8SG,X5fhqRmuvQ9Z,579.75,48.82
hCbJt8U6Ww3N,7ymC4wrimXhe,K0qPVGdA91KO,1094.04,13.5
0llz1DKEU0D0,x5U2lQcr1Slp,AYTvmj7w9EFz,820.05,6.87
liA5pvBYs64o,HMrkOFFXRiNb,smK689qrlIx3,509.99,32.34
KNa3m4B9oN3I,4DMLAKWbfjYB,vmUdCiLPoz75,51.5,4.36
KZs2qgGZoOSX,o0wzlENKuuPY,OfafuCsnlLjb,509.99,38.66
RtGO0hlWZEvO,y2MAnns4G96G,vlLUp3U56e8x,71.25,72.16
v4xqa1KwmNvE,8EMcxO7AFhVP,vlLUp3U56e8x,150.82,27.56
LgBjaoAZT313,pnQbUcmERqLT,C6WhdSZuLC8r,820.05,12.28
g2feI21w6ZER,eySkDvowFkGC,e77U7Zk968NA,1129.34,38.63
UXFVXUDBBnN2,OyNjP3ysqnRA,94l6BertAIx7,128.99,29.34
NiYQcWqn2dx1,UhiYwrBc5ixN,2Vzr14MB7bRD,669.9,20.25
uJxv0BlTzZKk,gyCm1QS60Z2r,2a07LobkzHUx,127.77,55.54
Gnt5P2sMZoDE,XicPOT40hSxE,nQlmkVGs3xYh,42.89,29.68
EP3hioG5H9fK,DMB6KqQisnZE,aeWbd3M28ShO,148.5,38.51
Qu1j9oOfSK6t,65N5NNUZppq6,ZncPmKR6Mxkk,172.13,12.28
eNNSfcB8zJAv,JNVFLT1PwSb6,VbREMx1xh7Eb,113.09,146.3
KBjiJXcRN9WP,zgeloe0hFyo4,73jr4z4JJLzT,509.99,32.34
7QE67FF0Om5N,Lqe98dYBeetq,HPuxRyj1uNUP,820.05,32.95
bVYJzm2XCyxo,Pb29t2XBfP6Q,2a07LobkzHUx,176.97,35.87
blIKUJKqhcAw,mCDJ1miTla4u,MD95fJyKH99j,44.85,24.19
glRonpQa8jMJ,Zi9DvAJMTNK7,AQc9GKfgidV6,120.49,49.55
MHEaSt8SPeoG,idj1HKBW8p4Y,2a07LobkzHUx,132.9,47.55
cB2f9bMTD38b,6j4YiywQs19u,5Ja2lH0N2OZt,23.95,72.52
GayOlUb6Vmw5,2H4WpZ0EIw4e,Pop7GYTjKtm4,849.5,37.91
DFJtb4hzzmHX,E1esbswKYvev,yfNN6zuwypOw,820.0,23.71
6whGhQyugS0N,iKnmCaCAMSTw,Sxff4PDBw1XG,215.9,17.46
9NeeIZEF4rYg,wUg0kOtAM0q5,qeM9i4J3ypy2,95.03,33.73
zyqeRBdn2QIz,poyljoTAnq9L,ruq0u2ZpAMDr,100.0,20.22
ZPtEC8wwF6WC,yTJSPjwF1iY0,n5YX70jIKP0h,17.75,15.14
n5anh2ES0Qrx,6lqYiC1kC4WA,qI9UblMbsm1o,588.5,27.8
ZAZc30nO7mBG,tzs5x0lLkB4v,9xdiogxz7kit,150.82,23.6
2h0BGlUwGRS1,F1FBNZnox1VK,1UBbfTkC9FVR,525.99,60.65
0bLeA89iFL8i,BKF4Stwoyt2S,yWUu6WhwFUAg,100.0,4.85
1jjbu6TXyRch,oo5YFvkDJXfS,yGbPyLPc8PmT,1298.99,50.28
amNpLmLRtqds,K8lKuHK7ZRsb,0G3Q4xIWFhMg,70.83,67.4
J3NBaP7MoqMg,NRdnqAmNJ3Gg,Fh5z5uvA4neX,307.5,17.38
UGOUFp6lOvfy,7ymC4wrimXhe,K0qPVGdA91KO,1094.04,209.63
W1NJYnYkaukv,diXfR20Ry7N3,bl8PTwqK0kvN,42.89,70.82
mekmxzX7xg66,7rmvkmjvPkYA,dihwpSHrqtI2,164.98,10.8
zgIMZEReS5B1,y5FI0l0HjdGT,qI9UblMbsm1o,475.0,20.9
sqqcJi5UVxtn,TznsJjXJH6cK,i4BuPduAnCgp,128.99,75.5
726qzHfAqEZO,D984F4DTEtgY,GCpOQODXyoev,77.8,60.46
SPsLXC6EZB6w,kUApGiacE8R7,UsPT5m7V2m8I,820.0,32.34
QLqDouIaUQyr,RepVMI5KCfFQ,cjilIa8d2RUG,189.98,74.27
pKPwllWcu4W3,rjqk8lHzimCk,A7s2wiNKJ3HW,59.67,11.75
8WTKsujGSPr0,oRWowdRxzkkE,Ek6ADNUZ7ej9,29.33,51.78
NTvOc3tRPuW5,0vxqaoazyUrJ,9fFFM6RBxCkT,61.89,21.35
Io6QaiAgVYoZ,oF8tGJeHNeOE,tNJnfkCxzhmN,0.85,24.57
Xknxc0MlpwU6,HpuiH593gmeG,V3iKL8r9W9NR,135.21,30.66
TmyZSJp1HpV7,pTrK5MYzL4Ca,vlLUp3U56e8x,18.42,56.66
GNz6cxwDUyoM,z3XHloP0B6UK,TD2AMTmc5Ixg,238.64,6.87
t0EtYo45Wcw7,A7oAK6cYaqZ4,Wk0JznmZOo6h,2.2,20.9
uCkWTkJzyQRA,WhlDdQRsqlZh,eCVvpO3y8lid,120.7,30.66
kHpIb3Vhkr2B,RXVEkfBO6tx3,mFvZj7UmZKhl,44.63,70.82
JHwaDSRd7Yqk,DLKkjtQJpeYz,yOHHC1UUl2d5,5.6,12.51
PqlLQqphGWMG,iaPbzG31q0Vz,ZYmjXZzv1NVS,620.1,93.16
J8Bc43diiiwa,O332ZRndALYI,yKLv906bPfTs,2899.0,18.93
T4K1lnPN7lH9,n8NlUmLkElPr,d3EdLm7hJGp3,346.9,88.76
qFGvBA8siR9C,HhAtKukEU7VT,UOGIrJtSldvd,104.4,50.83
DTG8rFMgpHXy,qKdBzmQEGR6b,TuPm19CMKvrM,126.69,20.9
EzLqwURTMESq,eICb94TD3JP8,tAGG15NrxyNT,380.9,48.99
VfPfevghWKRz,y2MAnns4G96G,7OKhjPME8ZK3,95.03,61.68
RrMH1HzjPDUy,icdtCDkjpSZQ,coi9xkdo66JI,190.06,28.61
dgXkaqn9QIyl,RL7OKDCyY23o,oMX7XDg7PCkP,820.0,55.95
GkihidwfzkNV,QzAC1fDWMbmk,ShJbjTW0ZGor,106.74,35.88
vl4sZM3Me2dI,T04Mxb5gFcXd,2jTASjIU2rIf,266.55,30.66
uKdtgTIV8ML0,BuMA9g0RCLlr,TBkUw9PKrND5,78.8,10.8
Tao6yqzZqR8i,pTx5wvuygQnb,OnC6iPAbNc8Z,71.8,125.66
CRAW5FHTgef2,5EFBA7VYOItK,mmCZV9eruyuF,367.9,28.68
hToNiABH0dXp,PmU4zDs3ZA49,4JfBsw8nXPBg,1322.64,88.37
mUZI3vHznWIA,MQlNR59cgOB2,yJyItN8uakce,24.0,33.9
xgFgAUrPUHEk,t9T0NG1QQIGI,QNwKKOA9Ndbm,358.8,19.47
JgAkkK19yYhw,iUMmZb8oh0qu,P2nCHWuo0HC0,777.0,39.75
3CD8klhI6sv6,HwPbP5N2qWCP,yvUEFO3OhNk6,399.2,70.82
yA6ye44VAqXT,aiiImX7Pk53m,7KovPWNcMm5O,34.7,24.78
pshOBIa9uNaK,J3RLg1Bwun4Q,6RP6rI6FuNCn,173.9,25.87
SpFKAoPp0ilG,Z0vMyDM0FvZn,sz6I1FR4ws2U,750.0,33.48
hwV9K6iZVgnh,0eU2pGKaTuqj,783CRaGkNtcx,966.9,66.03
DBPnEuQDFDVb,7C0EFvQcwqRI,8pZmAfsfUaVE,154.89,31.22
CM47ksrL2R8A,1rFoOcG1sQwB,IfkTaAAVww4a,149.5,18.01
6otDC7qi8cZh,AiKnucErxdfC,AYTvmj7w9EFz,123.49,29.58
wq3LDwK546wG,sNAAI52Ft4Yx,drTVXhMYok4r,220.99,27.68
w4jk8j2fTnhw,VE1XRfifT9hb,oqejBC0typqo,198.5,9.21
tZoVpxv5FVIH,dfAHqNQcTm3T,SgeUigb5Vbiv,0.85,47.55
tFQGjmZndsM5,Biwi1BNtUB7l,r7VxefoTVHbb,509.99,17.44
nblJwrll1AS0,ZWyg4uNWPHjJ,yGbPyLPc8PmT,2899.0,31.8
3vx9j3SvRUKg,pmQFBLygQ1oH,bNCLRjh6FYNu,31.0,34.33
OPuvw5JcjfOh,X4L5ori5hRm1,ftbUjJ6Gsazg,966.9,6.74
kVpTE6tUo9w7,Biwi1BNtUB7l,r7VxefoTVHbb,4099.99,67.36
NecsYKNR6nba,wipKQnoUkikl,kCtvFj5ogKgY,79.95,48.99
fnSFBmKlfG9i,OV8uYkcbbZld,yGbPyLPc8PmT,76.99,97.27
u2oKzCyv9sav,VAS6Q8niNy2w,AHG0TE6bRNNY,1899.0,47.55
OtV6waAZRqcN,w6wfCWzpQ78I,SAgvSHND3dvC,779.9,2.46
vhdr4kEZVJXi,kEslzWCkm0ZL,OnC6iPAbNc8Z,136.9,31.2
kyeIOoUKvoIM,8P6w1wVsyDsG,suRnvK8Z8DQd,36.89,104.98
VZvjDMifWUUk,0p1rNofm8oi9,4x6Z2AgJ9ya3,28.82,53.18
GewZicdnVU4o,OfYbf6ptQ7S0,DhnYfWO3PJ5F,140.93,0.65
paJO30kb5azy,NkygN5yTKOgI,JcRdnPnWEDp7,599.8,31.2
Co6YY9CSER9B,ro08JPncYzLh,r7VxefoTVHbb,692.0,46.76
1ADWBenqZlyI,Usi90p4RKMY1,Mi2ZCclAh7t8,31.75,38.98
YKY495iYCoqG,xJRyPvJqgafI,4SRv5bbOf4fh,128.99,43.69
MV5sovfkXA3U,3NEukCGJjNCr,gLmgFBt9KEP2,148.5,16.46
jQBSgqRWOpvl,IWTKXtyQPnuB,YlP5976VHgAM,167.0,47.55
CtWqYNGFXvab,GvBzGCvvIC2D,v4i9GZGfxgTZ,679.0,123.8
obrJjCEHkABU,0DGoM1aFJKQb,TBkUw9PKrND5,91.49,12.84
BmKm8T53Heik,4RokZRqcffze,cjx80DPt8xY1,116.11,47.99
WMaeamcmMFS7,yctXoGaUcJuM,dPgh591KNQAz,148.5,38.3
80zasKxvt11B,BEAPTXoPz01D,jcGSXQvdyg7M,694.65,161.82
HW9Ogje6AlUA,gCcVSdlEOuof,Djfhy4pnkKOC,188.8,49.17
O3kEwpEBakLG,8EMcxO7AFhVP,vlLUp3U56e8x,28.82,27.45
TKwhZWStGsmY,O332ZRndALYI,yKLv906bPfTs,2899.0,17.44
I54x5B7ZScB4,qh5eo3eA22JD,2IxTbqKqgUdA,168.85,24.83
KOrn1FCfjiwG,LjzRT54degE3,BGPWBRIq3VJB,68.1,32.34
RI0Rc1aPQdUs,sAZlZF7GJJdr,16pMg4KJ3hIj,820.0,47.55
q4CIb4iWNj6w,ojAhyTeUlmLS,7lb1D27JQRX6,97.05,161.82
ATrYoxeRKpjR,JKVUiz45iGB8,cUodQhgpRajF,453.7,87.83
k1rQ3PIw3yYp,yN7QdW9omLo6,9fBfKMiqf7Fj,65.41,6.08
lD9HnSAxViqE,gq42NYmDYSH7,RlOHlMxGbwXj,106.74,20.86
PX1ynyV2HPjl,VcU0FP9DjfBt,AvTLykupHOIB,156.3,29.07
Gwq3kXZ8MW3c,VkLNxVykNlKl,SixfIXbZXuJK,31.99,56.66
W3nEEHGY8aZe,M1QehWDYrOKu,NIsZOwBVPMQJ,42.79,47.35
mpXwWjfPlBSr,ooMfhtJJiM8o,xeWVu6d99qTQ,419.9,6.87
xneeAgYsRUlF,UMLfE5ekvVL1,4FPckp1t3j1n,257.57,7.74
BRj5e8wXFtYd,dooIJeivMlv6,KH9VVC2iPaCb,145.99,11.33
fuBWf4V2Fw1v,1R8bu0R8h2Pg,1b6QwEUEjB7M,335.21,10.1
mpPCmbAGPedF,rKXoWNJxVSE7,0Mzbc3aACMOQ,148.5,31.74
yb8LxW1FVkLV,0qtItiuCYJLB,ZsDn106jXrgr,83.8,73.09
7s3w2S5NqgHr,eWXIxR3gWdjy,VbREMx1xh7Eb,15.86,50.83
nWpya4oQZL6n,wEXYeIBMtNpz,7qJpsaaCZOk2,71.8,88.21
tytEgIj2Th3J,SLTlrWtcYt1m,r7VxefoTVHbb,692.0,66.37
Wa1rNI8dP7zs,Z0u1lpfu5xfm,bNCLRjh6FYNu,100.0,61.32
fIrfCQsEFnE9,DL5BHCpE7rrL,2a07LobkzHUx,97.88,33.35
at7rWo8KPYVJ,b73bpEzJgugQ,QgSPgHi2XQs8,80.38,47.55
PmfjmIs699a5,ifOyaTorkIqj,XePbD5Ocm6Yk,43.21,2.52
Na5LA4dY4q9A,noHAJVjnfbjD,fquh40THqSKm,107.63,91.93
BunZbvls0n1k,hmEnk83HcG3e,d8cgJZqYhwao,50.4,57.41
AhUvxUGYsopt,rfsGZzBijANi,Uhxp4jLBVzJq,128.99,44.04
gI9LiRm1Ryjt,1edaUIVffPFF,coi9xkdo66JI,49.31,29.31
E93Sn1q2YqAV,orUwK0JfotYQ,AvTLykupHOIB,66.0,22.18
FrByV3btkMWv,rymjv5HRykTB,2Vzr14MB7bRD,100.0,41.63
8J2PSZX0Qado,1JgqZUMnHeh7,EmVwqW8hWMQ7,47.02,14.68
47UxbbQPIt5G,i8rOWNVCU8SG,X5fhqRmuvQ9Z,914.0,20.11
ojnrE1j1yZNk,1ffebT9EkzfW,HaUIinFOemaU,126.69,13.66
bCo6YkJgUmME,tzs5x0lLkB4v,7OKhjPME8ZK3,150.82,27.56
DKYTTXy6VhNE,ESxhVTp3TExr,EqPcJSwcfSMn,100.0,16.76
nr3yNXzg551L,WRnS90YSEbaf,EGpv4plsYpt1,820.05,12.28
zErVTquqlznU,y2MAnns4G96G,7OKhjPME8ZK3,95.03,68.61
vJOB9Yahwavl,tXJHUVp8RdE6,cUodQhgpRajF,509.99,12.28
tJN8rPKqcCsC,fgZthIy5sipF,AU9arwujlHdc,149.55,32.34
jap0obJnnAmy,sFXdhNPN6lcL,quRHu0B8Aaes,679.0,13.54
B1SS9cXxCf43,J5Psrq96uL2D,9fFFM6RBxCkT,264.5,18.4
KXDoKZReRLYT,PFZYJm6Ju6Cb,2UV2zaeUhNyA,95.03,6.54
J20qFvYqnjav,pEOKGWW2dBY3,pAOttUyt5jAq,2600.0,47.55
ODQVs33Hh84k,oW6KDobidlmB,RKad98cTxhSb,56.89,22.56
xX2UiyxIPZSv,ruksAzpogPAJ,yGbPyLPc8PmT,106.74,24.99
xiJphil15jpi,blPFUTjOGNza,RKad98cTxhSb,509.99,67.11
E8OuxMoG0Q75,lZfc4Rcm9yEU,l1pYW6GBnPMr,779.9,36.51
FABrt78aO16I,o6Na5dqQ8W2g,coi9xkdo66JI,95.17,12.86
6b03hCPGdqkl,VcRU5d314wk8,RlOHlMxGbwXj,148.5,93.52
Jcy2W2E0Agmu,CgiKx9mLmcsp,2jTASjIU2rIf,48.65,72.52
aOYDktekeGQa,jjO7ZavQamGy,tQFHgEUSAMiP,54.5,59.62
D7VNrgEGCxnU,JluFNsoIYaG0,h4lcTgJTuj7f,56.89,6.08
rSLWWI0YOkKf,c80mGAlXdCTR,4nyyi5gifVI6,2799.65,149.06
KYO2H5mu4Wc2,FgsLb5eMMaQv,YVBAT3QqF9Qj,55.83,38.58
HkhWA2uQbJjR,x7LQ6tCvXa0m,6SEfGu8XEXxz,347.45,47.5
UEMavvdMBBA8,Ffe8gTdmyO3U,4cJY064rRFhL,107.63,16.67
yCkVMOcqHA1A,HgPeZx2cXbNh,HQ4j3Fr6B61e,252.99,17.51
6wadKo4Uu9GE,7BEUiOxC03oh,nKBsxjDoWKEM,179.4,133.52
8mIyPGLbfaH5,ecpXxsHx9yeV,EocZxKiaVbJJ,283.2,89.34
ZEHiCVT7ZSba,wPUdAGg8JMPE,e04MSACAuPpW,564.99,51.45
oAESSZCHbW0s,x5cG8pNAAlzt,QhAQIjqbj3Ou,129.77,92.03
KHgfaMNh9uhy,YVfSZ6AGWq2b,UsPT5m7V2m8I,65.06,34.33
7Tm4svxqksuZ,w47Os1mXLhR7,80PfrXwjDKzL,51.2,73.56
nGdpUMWwEiJW,jXEbnLl3rA9M,d3UkhSmgUAO1,802.14,16.06
2MGiPfM1fYce,u2yFcYxEYD3S,kJEFisr2CqPX,115.32,29.06
V2mJU7eydnfg,mKCML8bJ9XFK,vRdYN1O3TVgG,31.0,32.34
DAYUX6uOyR75,sB3mH3n4QEcI,hmS6KkvxMbyF,109.6,37.81
boeIrCCs8kim,zXA7JMshoWTW,2Vzr14MB7bRD,75.25,12.0
EEGYTFIZDfBx,zHp21bETKvVI,7afyCfXk0O0m,72.4,19.96
BihLVZjmyN0H,H7Jow3IJvnEB,FRAkUwkY4tZy,82.91,31.53
1kGGcFSFoKao,m2BXGAfmaOtK,k6Ksam5fmXKf,28.82,27.8
eVFyR1qdF9cp,rZmvB2yPujM0,VMcUj3BxBji6,134.57,51.45
ho9aYoyNRGoz,cTBa7ZYgU5YF,VbjjOcDj2sUH,42.89,140.52
vsQdmfvAWD0r,GhHaQE7pQ8l0,Sw86en7yweGi,243.0,38.63
NtSSqXv1Z1Wm,l1MvfyxTwnwn,XqqjgjqJKquz,222.4,22.02
ksOPq3lpCN7q,VIzCnu7ZJnPS,2EBnmKLQ6faA,26.77,32.62
QfDwhACQ23Xr,GwC5CQRLSWF4,VnAPb1lEZYQ6,459.0,17.42
u5AJRhmBLQtz,NBOvMLOgVscO,Uhxp4jLBVzJq,194.0,46.01
pX5m0O1CVY5q,aQBQT96o3CEF,cGYqbZqqQHjS,1449.8,15.31
jyNEi4sA1XHY,bpESrZraPGiK,PrJP7ZtLapUo,2130.0,53.53
8WYnlgMCHPfg,dAz11YkQkoue,TuPm19CMKvrM,59.21,47.55
YNo05KYxHSkK,nRkDfT1MBebs,EGW4UK5bOeEZ,11.04,32.75
LlxtAAKjt6BB,yifYVWda6kIz,OnC6iPAbNc8Z,68.1,25.38
PNI2HqlPxVjC,xaj9BPzCaOyC,XLxN4hdOlYco,153.75,47.55
F8EbvNo4GhiG,WYpoxZl2lCCd,Uhxp4jLBVzJq,194.0,46.01
oSyS0JoHQjtO,gero47msJAuH,T5TAziawiIyq,214.49,22.59
5AI7yWNtkxDG,Sex1oPQ5g59P,3RErtNzohFr9,42.89,55.54
9bqV6nH4nfrW,IktifiIxY9CZ,2a07LobkzHUx,802.14,67.12
QWzeukLNfMeF,4EJ4bFIK6Xep,6Gon9nN29mqW,54.98,70.34
mNxi2hOZpFeh,vWNeSyDg1wbi,rTKC7c3Tt984,26.77,17.19
Fie0ynZ7drmB,rs560cxRBpzh,GlLj704QXlDB,42.89,12.28
M9fSx7DrrYb9,YgLOzkNY5bN4,wdkFVpIzRNT3,30.48,59.77
Yhkot2w7WEXz,Qi4VqhwxyY73,fKDJ8j23MXgl,26.91,37.66
AdQYiwpmbcZs,t8mFaClezbXQ,6xOZQq4o7ck2,181.56,47.99
6QNUKHTlKzQz,DPjt4BgoDIvK,3KuTukGXgD7C,223.87,56.66
FXRNx6tgp5qm,eJ1VhzkvMp83,j6ZQXHPSPppN,295.0,38.66
bJx1zp3tvlFI,ilsWDSWmR8dX,0HbVEHMspxA1,137.88,17.44
yEA6uAyJrtyn,ro08JPncYzLh,r7VxefoTVHbb,4099.99,19.92
sWGOVCBlIYpQ,K1jVWpZuIp99,16pMg4KJ3hIj,197.99,82.44
hTsd7hsjSQkN,brKswOkWPtqO,K0qPVGdA91KO,161.0,38.63
7Z0hXerVDxYV,zMU1MG3ipApS,xadaQcJkLTmF,56.89,7.01
YeL4SAuZWnm6,qwwmgwg8mrv9,cJjMnhGSG3Hz,368.8,65.77
OGBnugiiwsQ7,tHa90Bwd7K6b,yGbPyLPc8PmT,1899.0,32.34
cfV2FFpdyahv,Biwi1BNtUB7l,r7VxefoTVHbb,4099.99,76.76
E8AKfhtGs86K,cjdU7fLbltoD,q1Q2n7nr6h9B,167.0,70.34
OR0wt8h1DIKb,sNtRBW3JfRjj,R7nUkxgwW9FO,126.69,55.54
qHQXGVVCHZYY,GvBzGCvvIC2D,v4i9GZGfxgTZ,679.0,33.86
xpfzksDexXMI,OEXGtELQiaDH,3e9JGBdDRF6C,318.33,25.29
YYNavM4ecDW5,6DyLRMYe3KmP,yGbPyLPc8PmT,113.49,28.31
qUt5sGnfTqfO,mhKWhwfwHCSR,hLW5pG3JWHbF,44.98,61.32
RVEKyUSqDZHV,qOiDnN39CMGm,yHsOFiqVrV1u,517.65,22.52
FfgsDN9OZGuM,T58tBW6zFi3S,K0qPVGdA91KO,1094.04,45.51
sMzZJbA97sz8,kbaoSmgfO9zQ,yGbPyLPc8PmT,1899.0,20.9
oGdO8jGWtiCD,8kUYWjdaVCxf,oI8R7WsNWWBc,50.21,5.59
R4puFrZcycnq,SRT6nggjSWOh,yxfgQLIrpHFD,11.97,36.97
CetUKkHYgPya,rhSa7tuppbwK,A7s2wiNKJ3HW,161.42,6.44
0d19WT6gAay3,DXG0TFaZjGHO,V8Stg8HdXCTe,403.9,32.34
Biqo21nETaMO,XqmdGKRbTetH,P2nCHWuo0HC0,113.49,91.32
hhBKG3qil2KL,z3XHloP0B6UK,TD2AMTmc5Ixg,238.64,125.99
aDnwWyOFhEJ2,Y9RZLlJmz7ht,8rHUnSQeQcMj,38.94,39.19
C5Vs4Tb4ozNR,zxZl4F5tafUt,BNMDH5cri8N5,46.2,15.67
U1mAeIP72gPD,O4e1ti4UFBuS,evGTHuQm4wMZ,148.5,18.01
DfUyZDa86qO9,1WWn9nDpPiWt,bl8PTwqK0kvN,178.0,26.92
ZskwlJutdrsO,0DoQRZJFrIMa,O04i82YS0uAJ,18.42,36.77
n2qxYfewEQFx,08pj5e74HPRV,XePbD5Ocm6Yk,728.9,225.71
HOR4OGRLZFAi,wEXYeIBMtNpz,7qJpsaaCZOk2,389.89,15.27
m1LtjhIB9CsJ,VCOwCoc0C3aj,BUqNP64b1AeL,198.5,83.75
JXMfAIkr2GMn,K7g5D7Q3uyjT,7KovPWNcMm5O,29.01,44.55
ao8cwuTvK450,VyvqSoUrvQ46,EqPcJSwcfSMn,57.6,42.33
0UBmWOKw8fEf,LKyozPiK7F82,YGPAECfdqiAj,223.51,24.76
jVdQnhB1si7w,CpeCg2UGCL6P,AvTLykupHOIB,97.44,22.0
WWw3VcoVGQWw,iRfmqpDKq7k7,ruq0u2ZpAMDr,107.63,12.16
Nifv0ug4fbdY,hBVeRiNmH8jL,DpK701TIIZN7,114.46,48.65
BUg1mBIQpkwF,59VGuT6xcW9Q,jSOhwPWVF2Xx,0.85,32.34
46mQB8D3v9eI,Y74w5wq3OKED,AHG0TE6bRNNY,216.79,1.05
0DLS5w2AyhwI,mOL0X56BS1KZ,mcvL4jGn9rQ4,403.9,67.11
PLRvoLumWbkD,GikeTHjLgt3b,BfK8XAwCdM0A,0.85,30.66
oVRVeW4UOiln,AZAmqF3BVIIy,ftbUjJ6Gsazg,966.9,6.74
grIIIXCxNzVS,VcU0FP9DjfBt,AvTLykupHOIB,109.82,70.34
sWOapohERXHv,6Ww1i7qd1Zqu,YVBAT3QqF9Qj,71.8,24.23
3zQxmjW6iIQM,97I7i6BQRjqd,AHG0TE6bRNNY,98.6,47.55
